chromosome	start	end	state
chr1	28840000	28841000	NPC
chr1	28931000	28932000	NPC
chr1	28933000	28934000	NPC
chr1	28947000	28948000	NPC
chr1	28957000	28958000	NPC
chr1	28977000	28978000	NPC
chr1	28994000	28995000	NPC
chr1	28997000	28998000	NPC
chr1	29002000	29004000	NPC
chr1	29097000	29098000	NPC
chr1	29146000	29147000	NPC
chr1	29148000	29149000	NPC
chr1	29153000	29154000	NPC
chr1	29156000	29157000	NPC
chr1	29160000	29162000	NPC
chr1	29196000	29197000	NPC
chr1	29207000	29208000	NPC
chr1	29213000	29214000	NPC
chr1	29215000	29216000	NPC
chr1	29241000	29242000	NPC
chr1	29311000	29312000	NPC
chr1	29443000	29444000	NPC
chr1	29495000	29496000	NPC
chr1	29631000	29632000	NPC
chr1	29633000	29634000	NPC
chr1	29715000	29716000	NPC
chr1	29717000	29718000	NPC
chr1	29756000	29757000	NPC
chr1	29795000	29796000	NPC
chr1	34417000	34418000	ESC
chr1	34578000	34583000	ESC
chr1	34621000	34625000	ESC
chr1	34667000	34670000	ESC
chr1	34690000	34698000	ESC
chr1	34749000	34750000	ESC
chr1	34874000	34875000	ESC
chr1	36053000	36056000	ESC
chr1	36057000	36058000	ESC
chr1	36067000	36068000	ESC
chr1	36211000	36217000	ESC
chr1	36504000	36505000	ESC
chr1	36707000	36711000	ESC
chr1	38359000	38364000	NPC
chr1	38365000	38371000	NPC
chr1	38372000	38374000	NPC
chr1	38375000	38376000	NPC
chr1	38377000	38389000	NPC
chr1	38390000	38440000	NPC
chr1	39594000	39596000	ESC
chr1	40269000	40271000	ESC
chr1	42436000	42437000	ESC
chr1	42628000	42635000	ESC
chr1	42636000	42659000	ESC
chr1	44496000	44497000	ESC
chr1	47135000	47136000	NPC
chr1	47149000	47150000	NPC
chr1	47159000	47160000	NPC
chr1	47200000	47201000	NPC
chr1	47203000	47204000	NPC
chr1	47206000	47207000	NPC
chr1	47224000	47225000	NPC
chr1	47227000	47228000	NPC
chr1	47233000	47234000	NPC
chr1	47235000	47236000	NPC
chr1	47238000	47239000	NPC
chr1	47247000	47248000	NPC
chr1	47252000	47253000	NPC
chr1	47254000	47255000	NPC
chr1	47261000	47262000	NPC
chr1	47284000	47285000	NPC
chr1	47324000	47325000	NPC
chr1	47334000	47335000	NPC
chr1	47341000	47342000	NPC
chr1	47344000	47345000	NPC
chr1	47358000	47359000	NPC
chr1	47372000	47374000	NPC
chr1	47379000	47380000	NPC
chr1	47406000	47407000	NPC
chr1	47418000	47419000	NPC
chr1	47437000	47438000	NPC
chr1	47455000	47456000	NPC
chr1	47476000	47477000	NPC
chr1	47508000	47509000	NPC
chr1	47541000	47542000	NPC
chr1	47552000	47554000	NPC
chr1	47589000	47590000	NPC
chr1	47674000	47675000	NPC
chr1	47739000	47740000	NPC
chr1	47745000	47746000	NPC
chr1	47752000	47753000	NPC
chr1	49987000	49988000	NPC
chr1	50012000	50013000	NPC
chr1	50019000	50020000	NPC
chr1	50035000	50036000	NPC
chr1	50057000	50058000	NPC
chr1	50060000	50062000	NPC
chr1	50126000	50127000	NPC
chr1	50147000	50148000	NPC
chr1	50149000	50151000	NPC
chr1	50155000	50156000	NPC
chr1	50196000	50198000	NPC
chr1	50217000	50218000	NPC
chr1	50220000	50221000	NPC
chr1	50248000	50249000	NPC
chr1	50262000	50263000	NPC
chr1	50264000	50265000	NPC
chr1	50305000	50306000	NPC
chr1	50320000	50321000	NPC
chr1	50322000	50323000	NPC
chr1	50334000	50335000	NPC
chr1	50367000	50368000	NPC
chr1	50413000	50414000	NPC
chr1	50436000	50437000	NPC
chr1	50447000	50448000	NPC
chr1	50452000	50453000	NPC
chr1	50458000	50459000	NPC
chr1	50470000	50471000	NPC
chr1	50516000	50518000	NPC
chr1	50519000	50521000	NPC
chr1	50532000	50533000	NPC
chr1	50542000	50543000	NPC
chr1	50544000	50545000	NPC
chr1	50556000	50557000	NPC
chr1	50559000	50561000	NPC
chr1	50562000	50563000	NPC
chr1	50564000	50566000	NPC
chr1	50567000	50568000	NPC
chr1	50572000	50573000	NPC
chr1	50574000	50575000	NPC
chr1	50576000	50578000	NPC
chr1	50579000	50581000	NPC
chr1	50582000	50585000	NPC
chr1	50588000	50597000	NPC
chr1	50598000	50599000	NPC
chr1	50870000	50873000	ESC
chr1	52670000	52672000	ESC
chr1	55306000	55310000	ESC
chr1	55317000	55318000	ESC
chr1	55350000	55352000	ESC
chr1	56068000	56072000	NPC
chr1	56075000	56076000	NPC
chr1	56077000	56078000	NPC
chr1	56080000	56081000	NPC
chr1	56089000	56091000	NPC
chr1	56092000	56093000	NPC
chr1	56094000	56095000	NPC
chr1	56097000	56098000	NPC
chr1	56105000	56106000	NPC
chr1	56107000	56108000	NPC
chr1	56109000	56111000	NPC
chr1	56112000	56117000	NPC
chr1	56118000	56119000	NPC
chr1	56120000	56123000	NPC
chr1	56124000	56126000	NPC
chr1	56129000	56130000	NPC
chr1	56141000	56142000	NPC
chr1	56145000	56146000	NPC
chr1	56154000	56157000	NPC
chr1	56159000	56161000	NPC
chr1	56163000	56164000	NPC
chr1	56166000	56167000	NPC
chr1	56170000	56171000	NPC
chr1	56178000	56179000	NPC
chr1	56185000	56188000	NPC
chr1	56190000	56191000	NPC
chr1	56192000	56193000	NPC
chr1	56194000	56195000	NPC
chr1	56197000	56198000	NPC
chr1	56199000	56200000	NPC
chr1	56202000	56203000	NPC
chr1	56223000	56224000	NPC
chr1	56231000	56232000	NPC
chr1	56233000	56234000	NPC
chr1	56253000	56256000	NPC
chr1	56258000	56259000	NPC
chr1	56264000	56265000	NPC
chr1	56270000	56271000	NPC
chr1	56272000	56274000	NPC
chr1	56276000	56277000	NPC
chr1	56278000	56279000	NPC
chr1	56286000	56287000	NPC
chr1	56290000	56291000	NPC
chr1	56292000	56293000	NPC
chr1	56296000	56297000	NPC
chr1	56298000	56299000	NPC
chr1	56302000	56309000	NPC
chr1	56310000	56311000	NPC
chr1	56312000	56315000	NPC
chr1	56320000	56322000	NPC
chr1	56324000	56325000	NPC
chr1	56332000	56333000	NPC
chr1	56336000	56337000	NPC
chr1	56347000	56348000	NPC
chr1	56351000	56352000	NPC
chr1	56355000	56356000	NPC
chr1	56364000	56365000	NPC
chr1	56366000	56367000	NPC
chr1	56368000	56369000	NPC
chr1	56372000	56373000	NPC
chr1	56379000	56380000	NPC
chr1	56381000	56382000	NPC
chr1	56384000	56387000	NPC
chr1	56388000	56389000	NPC
chr1	56395000	56396000	NPC
chr1	56397000	56398000	NPC
chr1	56402000	56403000	NPC
chr1	56412000	56413000	NPC
chr1	56421000	56422000	NPC
chr1	56423000	56425000	NPC
chr1	56426000	56427000	NPC
chr1	56430000	56431000	NPC
chr1	56432000	56433000	NPC
chr1	56434000	56436000	NPC
chr1	56445000	56447000	NPC
chr1	56449000	56450000	NPC
chr1	56452000	56454000	NPC
chr1	56459000	56460000	NPC
chr1	56468000	56469000	NPC
chr1	56476000	56477000	NPC
chr1	56481000	56482000	NPC
chr1	56484000	56485000	NPC
chr1	56488000	56489000	NPC
chr1	56490000	56492000	NPC
chr1	56493000	56494000	NPC
chr1	56499000	56500000	NPC
chr1	56505000	56506000	NPC
chr1	56507000	56508000	NPC
chr1	56509000	56510000	NPC
chr1	56512000	56514000	NPC
chr1	56516000	56517000	NPC
chr1	56518000	56519000	NPC
chr1	56521000	56522000	NPC
chr1	56524000	56525000	NPC
chr1	56532000	56533000	NPC
chr1	56541000	56542000	NPC
chr1	56543000	56544000	NPC
chr1	56547000	56548000	NPC
chr1	56549000	56551000	NPC
chr1	56552000	56553000	NPC
chr1	56554000	56558000	NPC
chr1	56560000	56561000	NPC
chr1	56577000	56580000	NPC
chr1	56581000	56582000	NPC
chr1	56584000	56585000	NPC
chr1	56586000	56588000	NPC
chr1	56590000	56591000	NPC
chr1	56595000	56596000	NPC
chr1	56597000	56599000	NPC
chr1	56602000	56603000	NPC
chr1	56912000	56931000	ESC
chr1	57719000	57720000	ESC
chr1	59536000	59537000	ESC
chr1	61572000	61575000	ESC
chr1	62637000	62642000	ESC
chr1	63210000	63215000	NPC
chr1	63216000	63217000	NPC
chr1	63218000	63219000	NPC
chr1	63222000	63224000	NPC
chr1	63225000	63231000	NPC
chr1	63234000	63235000	NPC
chr1	63236000	63237000	NPC
chr1	65594000	65597000	NPC
chr1	65602000	65603000	NPC
chr1	65604000	65605000	NPC
chr1	65609000	65610000	NPC
chr1	65613000	65614000	NPC
chr1	65621000	65622000	NPC
chr1	65623000	65624000	NPC
chr1	65634000	65635000	NPC
chr1	65668000	65669000	NPC
chr1	65691000	65693000	NPC
chr1	65723000	65725000	NPC
chr1	65734000	65735000	NPC
chr1	65739000	65740000	NPC
chr1	65741000	65742000	NPC
chr1	65767000	65768000	NPC
chr1	65769000	65770000	NPC
chr1	65772000	65773000	NPC
chr1	65778000	65779000	NPC
chr1	65781000	65784000	NPC
chr1	65790000	65791000	NPC
chr1	65816000	65817000	NPC
chr1	65821000	65822000	NPC
chr1	65827000	65828000	NPC
chr1	65832000	65833000	NPC
chr1	65834000	65837000	NPC
chr1	65849000	65850000	NPC
chr1	65860000	65862000	NPC
chr1	65864000	65865000	NPC
chr1	65867000	65868000	NPC
chr1	65870000	65871000	NPC
chr1	65873000	65874000	NPC
chr1	65875000	65877000	NPC
chr1	65886000	65890000	NPC
chr1	65893000	65894000	NPC
chr1	65897000	65899000	NPC
chr1	65901000	65903000	NPC
chr1	65906000	65907000	NPC
chr1	65914000	65917000	NPC
chr1	65919000	65920000	NPC
chr1	65923000	65925000	NPC
chr1	65933000	65934000	NPC
chr1	65935000	65936000	NPC
chr1	65937000	65938000	NPC
chr1	65942000	65944000	NPC
chr1	65964000	65965000	NPC
chr1	65967000	65969000	NPC
chr1	65976000	65980000	NPC
chr1	65981000	65982000	NPC
chr1	65990000	65991000	NPC
chr1	65992000	65993000	NPC
chr1	66010000	66013000	NPC
chr1	66018000	66020000	NPC
chr1	66025000	66027000	NPC
chr1	69039000	69042000	ESC
chr1	69309000	69312000	ESC
chr1	72470000	72471000	ESC
chr1	72509000	72511000	ESC
chr1	72805000	72810000	ESC
chr1	74001000	74004000	ESC
chr1	74053000	74057000	ESC
chr1	74353000	74354000	ESC
chr1	74356000	74358000	ESC
chr1	75024000	75025000	ESC
chr1	75243000	75244000	ESC
chr1	75258000	75261000	ESC
chr1	75267000	75275000	ESC
chr1	75298000	75299000	ESC
chr1	75301000	75314000	ESC
chr1	75332000	75337000	ESC
chr1	75339000	75343000	ESC
chr1	75353000	75354000	ESC
chr1	75355000	75356000	ESC
chr1	75365000	75370000	ESC
chr1	75374000	75376000	ESC
chr1	76341000	76342000	NPC
chr1	76350000	76351000	NPC
chr1	76359000	76360000	NPC
chr1	76367000	76368000	NPC
chr1	76373000	76374000	NPC
chr1	76375000	76376000	NPC
chr1	76378000	76379000	NPC
chr1	76380000	76381000	NPC
chr1	76383000	76384000	NPC
chr1	76388000	76389000	NPC
chr1	76405000	76407000	NPC
chr1	76411000	76417000	NPC
chr1	76418000	76419000	NPC
chr1	76421000	76422000	NPC
chr1	76423000	76424000	NPC
chr1	76426000	76429000	NPC
chr1	76430000	76433000	NPC
chr1	76434000	76435000	NPC
chr1	76442000	76446000	NPC
chr1	76447000	76449000	NPC
chr1	76460000	76462000	NPC
chr1	76466000	76471000	NPC
chr1	76479000	76480000	NPC
chr1	76481000	76484000	NPC
chr1	76486000	76487000	NPC
chr1	76488000	76489000	NPC
chr1	76493000	76494000	NPC
chr1	76496000	76497000	NPC
chr1	76503000	76504000	NPC
chr1	76514000	76515000	NPC
chr1	76517000	76518000	NPC
chr1	76521000	76522000	NPC
chr1	76528000	76529000	NPC
chr1	76533000	76534000	NPC
chr1	76535000	76539000	NPC
chr1	76541000	76542000	NPC
chr1	76546000	76547000	NPC
chr1	76549000	76551000	NPC
chr1	76555000	76557000	NPC
chr1	76558000	76559000	NPC
chr1	76563000	76564000	NPC
chr1	76578000	76579000	NPC
chr1	76583000	76584000	NPC
chr1	76585000	76588000	NPC
chr1	76589000	76594000	NPC
chr1	76598000	76599000	NPC
chr1	76607000	76609000	NPC
chr1	76612000	76614000	NPC
chr1	76615000	76616000	NPC
chr1	76626000	76627000	NPC
chr1	76631000	76633000	NPC
chr1	76637000	76639000	NPC
chr1	76640000	76644000	NPC
chr1	76652000	76653000	NPC
chr1	76654000	76655000	NPC
chr1	76661000	76663000	NPC
chr1	76665000	76666000	NPC
chr1	76669000	76670000	NPC
chr1	76673000	76675000	NPC
chr1	76677000	76678000	NPC
chr1	76689000	76690000	NPC
chr1	76695000	76696000	NPC
chr1	76702000	76704000	NPC
chr1	76714000	76717000	NPC
chr1	76718000	76721000	NPC
chr1	76727000	76728000	NPC
chr1	76730000	76731000	NPC
chr1	76733000	76734000	NPC
chr1	76737000	76738000	NPC
chr1	76739000	76740000	NPC
chr1	76742000	76743000	NPC
chr1	76744000	76745000	NPC
chr1	76749000	76751000	NPC
chr1	76770000	76771000	NPC
chr1	76772000	76773000	NPC
chr1	76779000	76780000	NPC
chr1	76781000	76782000	NPC
chr1	76783000	76784000	NPC
chr1	76785000	76788000	NPC
chr1	76789000	76790000	NPC
chr1	76791000	76792000	NPC
chr1	76795000	76797000	NPC
chr1	76799000	76815000	NPC
chr1	76816000	76817000	NPC
chr1	76818000	76829000	NPC
chr1	76830000	76833000	NPC
chr1	76834000	76842000	NPC
chr1	76843000	76844000	NPC
chr1	76845000	76848000	NPC
chr1	76850000	76851000	NPC
chr1	76857000	76860000	NPC
chr1	76865000	76867000	NPC
chr1	76868000	76869000	NPC
chr1	76871000	76873000	NPC
chr1	76875000	76876000	NPC
chr1	76877000	76878000	NPC
chr1	76883000	76884000	NPC
chr1	76892000	76895000	NPC
chr1	76896000	76897000	NPC
chr1	76899000	76900000	NPC
chr1	76902000	76905000	NPC
chr1	76906000	76907000	NPC
chr1	76908000	76910000	NPC
chr1	76911000	76913000	NPC
chr1	79736000	79739000	ESC
chr1	80635000	80639000	ESC
chr1	82166000	82170000	ESC
chr1	83437000	83439000	NPC
chr1	83441000	83442000	NPC
chr1	83443000	83444000	NPC
chr1	83446000	83448000	NPC
chr1	83450000	83451000	NPC
chr1	83461000	83462000	NPC
chr1	83464000	83465000	NPC
chr1	83468000	83469000	NPC
chr1	83473000	83474000	NPC
chr1	83478000	83479000	NPC
chr1	83481000	83482000	NPC
chr1	83490000	83491000	NPC
chr1	83510000	83513000	NPC
chr1	83514000	83515000	NPC
chr1	83519000	83520000	NPC
chr1	83524000	83525000	NPC
chr1	83529000	83532000	NPC
chr1	83533000	83534000	NPC
chr1	83535000	83536000	NPC
chr1	83538000	83539000	NPC
chr1	83542000	83543000	NPC
chr1	83545000	83546000	NPC
chr1	83547000	83548000	NPC
chr1	83551000	83552000	NPC
chr1	83559000	83560000	NPC
chr1	83561000	83562000	NPC
chr1	83564000	83567000	NPC
chr1	83572000	83573000	NPC
chr1	87849000	87852000	ESC
chr1	87876000	87881000	ESC
chr1	88502000	88503000	ESC
chr1	88958000	88959000	ESC
chr1	89092000	89099000	ESC
chr1	89306000	89310000	ESC
chr1	89338000	89342000	ESC
chr1	91751000	91757000	ESC
chr1	91758000	91766000	ESC
chr1	91773000	91774000	ESC
chr1	91821000	91822000	ESC
chr1	91823000	91827000	ESC
chr1	92803000	92807000	ESC
chr1	92828000	92831000	ESC
chr1	93173000	93177000	ESC
chr1	93190000	93191000	ESC
chr1	93192000	93194000	ESC
chr1	93195000	93197000	ESC
chr1	93242000	93245000	ESC
chr1	93288000	93290000	ESC
chr1	93630000	93633000	ESC
chr1	94662000	94664000	ESC
chr1	94678000	94680000	ESC
chr1	94852000	94854000	ESC
chr1	94873000	94874000	ESC
chr1	94876000	94877000	ESC
chr1	94881000	94882000	ESC
chr1	94883000	94885000	ESC
chr1	94929000	94934000	ESC
chr1	95006000	95010000	ESC
chr1	95065000	95068000	ESC
chr1	95231000	95233000	ESC
chr1	97497000	97499000	ESC
chr1	105593000	105594000	NPC
chr1	105600000	105601000	NPC
chr1	105605000	105608000	NPC
chr1	105614000	105615000	NPC
chr1	105616000	105618000	NPC
chr1	105623000	105625000	NPC
chr1	105627000	105628000	NPC
chr1	105632000	105633000	NPC
chr1	105650000	105652000	NPC
chr1	105656000	105657000	NPC
chr1	105663000	105664000	NPC
chr1	105674000	105675000	NPC
chr1	105677000	105678000	NPC
chr1	105685000	105686000	NPC
chr1	105692000	105693000	NPC
chr1	105698000	105699000	NPC
chr1	105727000	105728000	NPC
chr1	105814000	105815000	NPC
chr1	105838000	105839000	NPC
chr1	105841000	105842000	NPC
chr1	105870000	105871000	NPC
chr1	105881000	105882000	NPC
chr1	105891000	105892000	NPC
chr1	105903000	105904000	NPC
chr1	105919000	105920000	NPC
chr1	105965000	105966000	NPC
chr1	106006000	106007000	NPC
chr1	106043000	106044000	NPC
chr1	106054000	106055000	NPC
chr1	106088000	106089000	NPC
chr1	106110000	106111000	NPC
chr1	106114000	106115000	NPC
chr1	106127000	106128000	NPC
chr1	106134000	106135000	NPC
chr1	106139000	106140000	NPC
chr1	106152000	106153000	NPC
chr1	106155000	106156000	NPC
chr1	106164000	106165000	NPC
chr1	106166000	106167000	NPC
chr1	106177000	106178000	NPC
chr1	106179000	106180000	NPC
chr1	106187000	106188000	NPC
chr1	106198000	106199000	NPC
chr1	106217000	106218000	NPC
chr1	106249000	106251000	NPC
chr1	106253000	106254000	NPC
chr1	106255000	106258000	NPC
chr1	106272000	106275000	NPC
chr1	106280000	106281000	NPC
chr1	106289000	106291000	NPC
chr1	106307000	106308000	NPC
chr1	106341000	106342000	NPC
chr1	106346000	106348000	NPC
chr1	106349000	106351000	NPC
chr1	106353000	106354000	NPC
chr1	106356000	106358000	NPC
chr1	106360000	106361000	NPC
chr1	106362000	106363000	NPC
chr1	106379000	106380000	NPC
chr1	106414000	106415000	NPC
chr1	106422000	106424000	NPC
chr1	106428000	106429000	NPC
chr1	106432000	106433000	NPC
chr1	106443000	106444000	NPC
chr1	106445000	106446000	NPC
chr1	106456000	106457000	NPC
chr1	106462000	106463000	NPC
chr1	106481000	106482000	NPC
chr1	106498000	106499000	NPC
chr1	106504000	106505000	NPC
chr1	106549000	106550000	NPC
chr1	106568000	106569000	NPC
chr1	106596000	106598000	ESC
chr1	106820000	106822000	ESC
chr1	108540000	108543000	ESC
chr1	111819000	111823000	NPC
chr1	111839000	111840000	NPC
chr1	111855000	111856000	NPC
chr1	111880000	111881000	NPC
chr1	111944000	111947000	NPC
chr1	111948000	111949000	NPC
chr1	111988000	111989000	NPC
chr1	112042000	112043000	NPC
chr1	112074000	112075000	NPC
chr1	112099000	112100000	NPC
chr1	112171000	112172000	NPC
chr1	112191000	112192000	NPC
chr1	112238000	112239000	NPC
chr1	112267000	112269000	NPC
chr1	112293000	112294000	NPC
chr1	112303000	112304000	NPC
chr1	112357000	112358000	NPC
chr1	112430000	112431000	NPC
chr1	112462000	112463000	NPC
chr1	112512000	112514000	NPC
chr1	112531000	112532000	NPC
chr1	112534000	112535000	NPC
chr1	112567000	112568000	NPC
chr1	112598000	112599000	NPC
chr1	112601000	112602000	NPC
chr1	112616000	112618000	NPC
chr1	112628000	112629000	NPC
chr1	112662000	112663000	NPC
chr1	112681000	112682000	NPC
chr1	112846000	112847000	NPC
chr1	112912000	112913000	NPC
chr1	112938000	112939000	NPC
chr1	112943000	112944000	NPC
chr1	112947000	112949000	NPC
chr1	112952000	112953000	NPC
chr1	112974000	112975000	NPC
chr1	112979000	112980000	NPC
chr1	113003000	113004000	NPC
chr1	113009000	113010000	NPC
chr1	113042000	113043000	NPC
chr1	113049000	113050000	NPC
chr1	113074000	113075000	NPC
chr1	113113000	113114000	NPC
chr1	113137000	113138000	NPC
chr1	113153000	113154000	NPC
chr1	113188000	113189000	NPC
chr1	113204000	113205000	NPC
chr1	113206000	113207000	NPC
chr1	113213000	113215000	NPC
chr1	113223000	113224000	NPC
chr1	113428000	113430000	NPC
chr1	113486000	113487000	NPC
chr1	113490000	113491000	NPC
chr1	113572000	113573000	NPC
chr1	113587000	113588000	NPC
chr1	113595000	113596000	NPC
chr1	113609000	113610000	NPC
chr1	113693000	113694000	NPC
chr1	113697000	113698000	NPC
chr1	113699000	113700000	NPC
chr1	113705000	113706000	NPC
chr1	113720000	113722000	NPC
chr1	113727000	113728000	NPC
chr1	113740000	113741000	NPC
chr1	113795000	113796000	NPC
chr1	113808000	113809000	NPC
chr1	113812000	113813000	NPC
chr1	113856000	113857000	NPC
chr1	113879000	113880000	NPC
chr1	113902000	113903000	NPC
chr1	113928000	113929000	NPC
chr1	113933000	113934000	NPC
chr1	121833000	121838000	ESC
chr1	122422000	122444000	ESC
chr1	123005000	123007000	ESC
chr1	123354000	123356000	ESC
chr1	127504000	127505000	ESC
chr1	127738000	127742000	ESC
chr1	128318000	128322000	ESC
chr1	128325000	128326000	ESC
chr1	129169000	129175000	NPC
chr1	129176000	129177000	NPC
chr1	129178000	129181000	NPC
chr1	129184000	129186000	NPC
chr1	129192000	129195000	NPC
chr1	129198000	129200000	NPC
chr1	131101000	131103000	ESC
chr1	132916000	132918000	ESC
chr1	132920000	132921000	ESC
chr1	132922000	132927000	ESC
chr1	133069000	133072000	ESC
chr1	134707000	134712000	ESC
chr1	134722000	134723000	ESC
chr1	134724000	134725000	ESC
chr1	134726000	134731000	ESC
chr1	134752000	134754000	ESC
chr1	134755000	134757000	ESC
chr1	134758000	134760000	ESC
chr1	134762000	134763000	ESC
chr1	134764000	134767000	ESC
chr1	134768000	134769000	ESC
chr1	135156000	135158000	ESC
chr1	135617000	135618000	ESC
chr1	135636000	135638000	ESC
chr1	135724000	135726000	ESC
chr1	136027000	136028000	ESC
chr1	136029000	136031000	ESC
chr1	136040000	136042000	ESC
chr1	136049000	136053000	ESC
chr1	136114000	136117000	ESC
chr1	136329000	136331000	ESC
chr1	136803000	136805000	ESC
chr1	136901000	136903000	ESC
chr1	137400000	137402000	ESC
chr1	137733000	137736000	ESC
chr1	137866000	137872000	ESC
chr1	137922000	137924000	ESC
chr1	140653000	140667000	ESC
chr1	148258000	148260000	ESC
chr1	149943000	149944000	NPC
chr1	149945000	149946000	NPC
chr1	150000000	150001000	NPC
chr1	150045000	150046000	NPC
chr1	150227000	150228000	NPC
chr1	150257000	150258000	NPC
chr1	150350000	150351000	NPC
chr1	150390000	150391000	NPC
chr1	150414000	150415000	NPC
chr1	150469000	150471000	NPC
chr1	150489000	150490000	NPC
chr1	150492000	150493000	NPC
chr1	150536000	150537000	NPC
chr1	150596000	150597000	NPC
chr1	150613000	150614000	NPC
chr1	150629000	150630000	NPC
chr1	150669000	150670000	NPC
chr1	150702000	150703000	NPC
chr1	150720000	150721000	NPC
chr1	150739000	150740000	NPC
chr1	150752000	150753000	NPC
chr1	150760000	150761000	NPC
chr1	150764000	150765000	NPC
chr1	150780000	150781000	NPC
chr1	150793000	150795000	NPC
chr1	150801000	150802000	NPC
chr1	150832000	150833000	NPC
chr1	150840000	150841000	NPC
chr1	150864000	150865000	NPC
chr1	150869000	150870000	NPC
chr1	150891000	150892000	NPC
chr1	150925000	150926000	NPC
chr1	150932000	150934000	NPC
chr1	150935000	150937000	NPC
chr1	150961000	150962000	NPC
chr1	150976000	150977000	NPC
chr1	150979000	150980000	NPC
chr1	150991000	150992000	NPC
chr1	150998000	151000000	NPC
chr1	151015000	151016000	NPC
chr1	151021000	151022000	NPC
chr1	151035000	151036000	NPC
chr1	151069000	151070000	NPC
chr1	151074000	151075000	NPC
chr1	151085000	151086000	NPC
chr1	151090000	151091000	NPC
chr1	151094000	151096000	NPC
chr1	151117000	151118000	NPC
chr1	151133000	151134000	NPC
chr1	153850000	153852000	ESC
chr1	154162000	154164000	ESC
chr1	154275000	154276000	ESC
chr1	154385000	154389000	ESC
chr1	155395000	155409000	NPC
chr1	155963000	155969000	ESC
chr1	156856000	156862000	ESC
chr1	157004000	157010000	ESC
chr1	157462000	157466000	ESC
chr1	158039000	158044000	ESC
chr1	158147000	158149000	ESC
chr1	158611000	158612000	ESC
chr1	160191000	160193000	ESC
chr1	160199000	160200000	ESC
chr1	161880000	161881000	ESC
chr1	165144000	165153000	ESC
chr1	166975000	166976000	ESC
chr1	166979000	166980000	ESC
chr1	167117000	167120000	ESC
chr1	167538000	167540000	ESC
chr1	167541000	167545000	ESC
chr1	167677000	167678000	ESC
chr1	167679000	167684000	ESC
chr1	167685000	167686000	ESC
chr1	167881000	167886000	ESC
chr1	168090000	168094000	ESC
chr1	168144000	168148000	ESC
chr1	168216000	168218000	ESC
chr1	168244000	168248000	ESC
chr1	168466000	168467000	NPC
chr1	168468000	168471000	NPC
chr1	168474000	168475000	NPC
chr1	168476000	168477000	NPC
chr1	168478000	168479000	NPC
chr1	168481000	168482000	NPC
chr1	168483000	168486000	NPC
chr1	168488000	168490000	NPC
chr1	168497000	168502000	NPC
chr1	168504000	168505000	NPC
chr1	168506000	168507000	NPC
chr1	168508000	168512000	NPC
chr1	168513000	168518000	NPC
chr1	168519000	168520000	NPC
chr1	168523000	168529000	NPC
chr1	168535000	168536000	NPC
chr1	168540000	168541000	NPC
